timesteps,env_idx,episode_reward,episode_length
38760,0,135.914402,101
38872,3,134.170965,101
38896,1,133.905414,101
38980,2,134.480085,101
39164,0,135.519083,101
39276,3,135.277992,101
39300,1,136.2657,101
39384,2,137.20495,101
39568,0,133.319502,101
39680,3,135.719162,101
39704,1,136.926397,101
39788,2,135.249768,101
39972,0,132.499563,101
40084,3,133.30839,101
40108,1,133.36214,101
40192,2,138.004562,101
40376,0,136.193747,101
40488,3,134.643477,101
40512,1,130.999879,101
40596,2,133.399971,101
40780,0,129.329726,101
40892,3,132.029337,101
40916,1,136.034213,101
41000,2,136.880792,101
41184,0,133.647145,101
41296,3,137.577073,101
41320,1,138.251706,101
41404,2,141.681793,101
41588,0,136.021753,101
41700,3,135.042853,101
41724,1,133.090102,101
41808,2,133.225958,101
41992,0,133.17902,101
42104,3,132.455778,101
42128,1,136.822181,101
42212,2,132.093664,101
42396,0,134.663993,101
42508,3,134.936071,101
42532,1,131.906362,101
42616,2,136.876801,101
42800,0,131.635887,101
42912,3,137.924438,101
42936,1,137.292496,101
43020,2,139.431375,101
43204,0,133.031003,101
43316,3,139.965098,101
43340,1,139.429685,101
43424,2,137.60836,101
43608,0,136.835113,101
43720,3,138.087563,101
43744,1,132.190635,101
43828,2,134.378642,101
44012,0,134.407846,101
44124,3,134.208288,101
44148,1,134.918415,101
44232,2,132.680446,101
44416,0,131.280838,101
44528,3,128.484231,101
44552,1,129.658773,101
44636,2,130.874694,101
44820,0,136.064504,101
44932,3,137.075228,101
44956,1,134.811729,101
45040,2,136.68413,101
45224,0,134.928773,101
45336,3,133.912213,101
45360,1,133.595012,101
45444,2,130.835387,101
45628,0,128.297224,101
45740,3,131.061022,101
45764,1,133.213117,101
45848,2,140.095085,101
46032,0,132.705088,101
46144,3,136.104286,101
46168,1,131.283755,101
46252,2,134.088155,101
46436,0,135.522394,101
46548,3,133.66883,101
46572,1,133.30147,101
46656,2,132.388036,101
46840,0,129.934706,101
46952,3,134.931018,101
46976,1,136.207162,101
47060,2,136.888594,101
47244,0,136.700543,101
47356,3,136.830156,101
47380,1,133.89754,101
47464,2,133.63793,101
47648,0,135.803703,101
47760,3,130.619132,101
47784,1,136.524227,101
47868,2,137.885416,101
48052,0,137.40656,101
48164,3,135.701735,101
48188,1,136.88904,101
48272,2,135.918533,101
48456,0,137.059561,101
48568,3,130.56284,101
48592,1,134.331233,101
