#{"t_start": 1767541112.093963, "env_id": "None"}
r,l,t
13.934745,27,2065.993417,71,206.056556
14.984617,30,206.636931
-20.0,1,206.656389
5.997914,20,207.132578
-20.0,1,207.153572
-20.0,1,2056.53854,58,208.204766
43.737226,51,209.118682
-20.0,1,20131.441134,101,210.205735
-20.0,1,210.231672
17.56228,31,210.79344
-5.861079,13,43.024229,4854.379961,55,212.053055
22.911314,36,212.723586
139.66967,101,214.519087
-20.0,1,214.540647
-20.0,1,214.561635
0.917043,20,214.968429
-20.0,1,214.990599
-0.04003,17,215.300297
52.235439,59,216.405858
80.429844,75,217.783288
29.002851,42,218.57581
-20.0,1,218.595881
48.975845,52,219.567463
-20.0,1,219.588012
47.399092,49,220.535426
-7.173945,13,220.768276
-20.0,1,220.788521
-11.000173,8,220.944197
36.447113,45,221.775686
-20.0,1,221.795817
141.335757,101,223.556329
-20.0,1,223.576075
-20.0,1,223.595448
-20.0,1,223.615174
-20.0,1,223.633992
100.876964,90,225.292154
11.210868,27,225.783473
13.687572,26,226.264233
-15.035539,5,226.35472
46.453257,53,227.34606
-20.0,1,227.365495
-20.0,1,227.387294
-11.98891,7,227.510621
50.378044,54,228.490373
2.884266,19,228.834979
42.19337,48,229.725714
-20.0,1,229.745456
33.045436,42,230.493786
19.965149,33,231.104475
2.062698,22,231.520823
-20.0,1,231.543184
55.762549,60,232.669154
-16.260406,4,232.740313
-12.072812,8,232.892573
-5.944046,16,233.191158
-6.672593,13,233.429622
-8.184271,10,233.613965
21.563356,31,234.190749
-8.561463,11,234.390789
-10.698035,12,234.611939
17.806872,31,235.209532
-10.043522,10,235.390836
-4.538169,14,235.66159
24.922397,35,236.293714
16.940467,29,236.815202
-20.0,1,236.844022
-14.303441,6,236.964241
29.848825,37,237.663616
-9.068906,10,237.863217
-15.882424,4,237.934525
-3.471529,15,238.210581
25.327294,35,238.856906
-12.139727,7,238.987591
80.758211,76,240.359575
-20.0,1,240.379465
8.370793,25,240.83044
